刑法的概述,习题,"关于公平正义理念与罪刑相适应原则的关系，下列哪一选项是错误的？A．公平正义是人类社会的共同理想，罪刑相适应原则与公平正义相吻合 
B．公平正义与罪刑相适应原则都要求在法律实施中坚持以事实为根据、以法律为准绳 
C．根据案件特殊情况，为做到罪刑相适应，促进公平正义，可由最高法院授权下级法院，在法定刑以下判处刑罚 
D．公平正义的实现需要正确处理法理与情理的关系，罪刑相适应原则要求做到罪刑均衡与刑罚个别化，二者并不矛盾"
刑法的概述,习题,"关于社会主义法治理念与罪刑法定原则的关系有以下观点：①罪刑法定的思想基础是民主主义与尊重人权主义，具备社会主义法治理念的本质属性
②罪刑法定既约束司法者，也约束立法者，符合依法治国理念的基本要求
③罪刑法定的核心是限制国家机关权力，保障国民自由，与执法为民的理念相一致
④罪刑法定是依法治国理念在刑法领域的具体表现
关于上述观点的正误，下列哪一选项是正确的？A.第①句正确，第②③④句错误
B.第①③句正确，第②④句错误
C.第①②③句正确，第④句错误
D.第①②③④句均正确"
刑法的概述,习题,"关于罪刑法定原则，下列哪一选项是正确的？A．罪刑法定原则的思想基础之一是民主主义，而习惯最能反映民意，所以，将习惯作为刑法的渊源并不违反罪刑法定原则
B．罪刑法定原则中的""法""不仅包括国家立法机关制定的法，而且包括国家最高行政机关制定的法
C．罪刑法定原则禁止不利于行为人的溯及既往，但允许有利于行为人的溯及既往
D．刑法分则的部分条文对犯罪的状况不作具体描述，只是表述该罪的罪名。这种立法体例违反罪刑法定原则"
刑法的概述,习题,"我国刑法规定了_____法定原则，_____法定原则的经典表述是，“法无明文规定不为罪”、“法无明文规定不处罚”；刑法同时规定了_____相适应原则，即刑罚的轻重，应当与犯罪分子所犯_____和承担的_____相适应；死刑只适用于_____极其严重的犯罪分子。在这段话的空格中：A.2处填写“罪刑”，4处填写“罪行”
B.3处填写“罪刑”，3处填写“罪行”
C.4处填写“罪刑”，2处填写“罪行”
D.3处填写“罪刑”，2处填写“罪行”"
刑法的概述,习题,"甲怀疑医院救治不力致其母死亡，遂在医院设灵堂、烧纸钱，向医院讨说法。结合社会主义法治理念和刑法规定，下列哪一看法是错误的？A．执法为民与服务大局的理念要求严厉打击涉医违法犯罪，对社会影响恶劣的涉医犯罪行为，要依法从严惩处
B．甲属于起哄闹事，只有造成医院的秩序严重混乱的，才构成寻衅滋事罪 
C．如甲母的死亡确系医院救治不力所致，则不能轻易将甲的行为认定为寻衅滋事罪 
D．如以寻衅滋事罪判处甲有期徒刑3年、缓刑3年，为有效维护医疗秩序，法院可同时发布禁止令，禁止甲1年内出入医疗机构"
刑法的概述,习题,"某孤儿院为谋取单位福利，分两次将38名孤儿交给国外从事孤儿收养的中介组织，共收取30余万美元的“中介费”、“劳务费”。关于本案，下列哪一选项符合依法治国的要求？A.因《刑法》未将此行为规定为犯罪，便不能由于本案社会影响重大，就以刑事案件查处
B.本案可追究孤儿院及其主管人员、直接责任人的刑事责任，以利于促进政治效果与社会效果的统一
C.报请全国人大常委会核准后，本案可作为单位拐卖儿童犯罪处理，以利于进一步发挥法律维护社会稳定的作用
D.可追究主管人员与其他直接责任人的刑事责任，以利于促进法律效果、政治效果与社会效果的统一"
刑法的概述,习题,"1997年3月刑法修订后，全国人民代表大会常务委员会颁布了几个单行刑法和几个刑法修正案？A.一个单行刑法和四个修正案
B.一个单行刑法和十一个修正案
C.两个单行刑法和四个修正案
D.两个单行刑法和五个修正案"
刑法的概述,习题,"老板甲春节前转移资产，拒不支付农民工工资。劳动部门下达责令支付通知书后，甲故意失踪。公安机关接到报警后，立即抽调警力，迅速将甲抓获。在侦查期间，甲主动支付了所欠工资。起诉后，法院根据《刑法修正案（八）》拒不支付劳动报酬罪认定甲的行为，甲表示认罪。关于此案，下列哪一说法是错误的？A.《刑法修正案（八）》增设拒不支付劳动报酬罪，体现了立法服务大局、保护民生的理念
B.公安机关积极破案解决社会问题，发挥了保障民生的作用
C.依据《刑法修正案（八）》对欠薪案的审理，体现了惩教并举，引导公民守法、社会向善的作用
D.甲已支付所欠工资，可不再追究甲的刑事责任，以利于实现良好的社会效果"
刑法的概述,习题,"关于罪刑法定原则有以下观点：
①罪刑法定只约束立法者，不约束司法者
②罪刑法定只约束法官，不约束侦查人员
③罪刑法定只禁止类推适用刑法，不禁止适用习惯法
④罪刑法定只禁止不利于被告人的事后法，不禁止有利于被告人的事后法
下列哪一选项是正确的？A.第①句正确，第②③④句错误
B.第①②句正确，第③④句错误 
C.第④句正确，第①②③句错误 
D.第①③句正确，第②④句错误"
刑法的概述,习题,"下列哪些选项不违反罪刑法定原则？A.将明知是痴呆女而与之发生性关系导致被害人怀孕的情形，认定为强奸""造成其他严重后果""
B.将卡拉OK厅未经著作权人许可大量播放其音像制品的行为，认定为侵犯著作权罪中的""发行"" 
C.将重度醉酒后在高速公路超速驾驶机动车的行为，认定为以危险方法危害公共安全罪 
D.《刑法》规定了盗窃武装部队印章罪，未规定毁灭武装部队印章罪。为弥补处罚漏洞，将毁灭武装部队印章的行为认定为毁灭""国家机关""印章"
